order_id,sku,qty,amount,fail_at,comp_fail_at
ORD000001,ADAPTER-USB-C,9,3110.49,,
ORD000002,ADAPTER-USB-C,9,3104.28,,
ORD000003,BATTERY-AA,8,2074.88,,
ORD000004,WIDGET-B,8,1082.32,,
ORD000005,WIDGET-A,10,3932.3,,
ORD000006,PANEL-40W,3,770.37,,
ORD000007,WIDGET-B,1,33.55,,
ORD000008,PANEL-40W,1,315.68,,
ORD000009,PANEL-40W,4,869.08,,
ORD000010,ADAPTER-USB-C,1,271.73,,
ORD000011,SENSOR-T1,7,2793.77,,
ORD000012,WIDGET-B,5,699.05,,
ORD000013,SENSOR-T1,1,46.68,,
ORD000014,CABLE-2M,2,683.4,,
ORD000015,WIDGET-A,1,101.13,,
ORD000016,WIDGET-A,8,1301.44,,
ORD000017,CABLE-2M,2,470.34,,
ORD000018,SENSOR-T1,6,318.66,,
ORD000019,CABLE-2M,2,142.3,,
ORD000020,WIDGET-A,1,196.68,,
ORD000021,BATTERY-AA,4,760.08,,
ORD000022,GADGET-X,7,1852.27,,
ORD000023,CABLE-2M,4,80.72,,
ORD000024,PANEL-40W,5,1996.0,RESERVE_INVENTORY,
ORD000025,PANEL-40W,10,581.3,,
ORD000026,GIZMO-PRO,8,945.2,,
ORD000027,MODULE-Z,5,833.7,RESERVE_INVENTORY,
ORD000028,GIZMO-PRO,1,248.49,,
ORD000029,ADAPTER-USB-C,3,1153.41,,
ORD000030,PANEL-40W,3,1047.84,,
ORD000031,GADGET-X,5,1826.0,,
ORD000032,GIZMO-PRO,4,320.88,,
ORD000033,BATTERY-AA,4,1124.2,,
ORD000034,ADAPTER-USB-C,10,498.3,CREATE_ORDER,REFUND_PAYMENT
ORD000035,GIZMO-PRO,7,823.55,,
ORD000036,PANEL-40W,8,1052.08,,
ORD000037,WIDGET-B,3,320.37,,
ORD000038,PANEL-40W,10,481.7,,
ORD000039,GIZMO-PRO,1,46.28,,
ORD000040,GIZMO-PRO,1,37.71,,
ORD000041,BATTERY-AA,10,3897.6,,
ORD000042,GADGET-X,8,3140.72,,
ORD000043,BATTERY-AA,10,3798.0,,
ORD000044,WIDGET-A,8,2927.04,,
ORD000045,WIDGET-A,1,247.38,CREATE_ORDER,
ORD000046,MODULE-Z,3,1199.28,CHARGE_PAYMENT,
ORD000047,GADGET-X,6,922.2,,
ORD000048,WIDGET-B,7,2651.67,CREATE_SHIPMENT,
ORD000049,PANEL-40W,7,1148.63,CREATE_ORDER,CANCEL_SHIPMENT
ORD000050,WIDGET-B,5,1771.6,,
ORD000051,CABLE-2M,10,1939.5,,
ORD000052,BATTERY-AA,2,434.2,,
ORD000053,SENSOR-T1,10,533.4,CREATE_ORDER,
ORD000054,PANEL-40W,8,937.76,CHARGE_PAYMENT,
ORD000055,PANEL-40W,4,867.96,,
ORD000056,MODULE-Z,8,1674.88,,
ORD000057,CABLE-2M,5,477.15,,
ORD000058,GIZMO-PRO,4,664.32,,
ORD000059,MODULE-Z,4,287.0,,
ORD000060,WIDGET-A,2,762.0,,
ORD000061,GADGET-X,2,382.5,,
ORD000062,GIZMO-PRO,7,1157.59,,
ORD000063,MODULE-Z,10,1919.4,CREATE_ORDER,
ORD000064,PANEL-40W,1,277.74,,
ORD000065,MODULE-Z,5,1333.65,,
ORD000066,GADGET-X,7,1349.88,CHARGE_PAYMENT,
ORD000067,GADGET-X,1,393.92,,
ORD000068,WIDGET-B,9,2420.28,,
ORD000069,WIDGET-B,4,383.0,,
ORD000070,GADGET-X,1,306.92,,
ORD000071,WIDGET-A,3,318.15,,
ORD000072,BATTERY-AA,9,1891.44,,
ORD000073,GADGET-X,7,2397.71,,
ORD000074,GIZMO-PRO,2,351.96,,
ORD000075,CABLE-2M,3,573.57,,
ORD000076,WIDGET-A,7,1603.0,,
ORD000077,BATTERY-AA,6,1177.26,,
ORD000078,GIZMO-PRO,2,588.68,,
ORD000079,WIDGET-B,4,448.28,,
ORD000080,WIDGET-B,5,1120.2,,
ORD000081,MODULE-Z,5,1829.0,,
ORD000082,MODULE-Z,9,463.05,,
ORD000083,BATTERY-AA,7,2183.51,,
ORD000084,WIDGET-A,4,1309.88,CREATE_ORDER,
ORD000085,MODULE-Z,3,596.43,,
ORD000086,BATTERY-AA,8,3035.04,,
ORD000087,WIDGET-B,4,747.92,,
ORD000088,BATTERY-AA,3,655.98,,
ORD000089,BATTERY-AA,5,692.25,,
ORD000090,PANEL-40W,4,542.76,,
ORD000091,BATTERY-AA,9,1113.57,,
ORD000092,CABLE-2M,9,570.87,CREATE_SHIPMENT,CANCEL_ORDER
ORD000093,BATTERY-AA,7,1587.04,,
ORD000094,WIDGET-B,8,443.36,,
ORD000095,BATTERY-AA,8,1417.84,,
ORD000096,CABLE-2M,5,567.95,,
ORD000097,MODULE-Z,7,2536.38,,
ORD000098,ADAPTER-USB-C,9,1264.86,,
ORD000099,PANEL-40W,1,371.6,,
